s,hashtag,sentiment,comments
,DemocraciaMarcaEspaña,pro,
*,CataluñaLibre,pro,
,RepúblicaCatalana,pro,
*,IndependenciaCataluña,pro,
,FreePiolin,pro,
,TotsSomCatalunya,pro,this one seems to have shifted
,ProuPuigdemont,anti,
,OrgullososDeSerEspañoles,anti,
,NoALosPaísesCatalanes,anti,
*,CataluñaEsEspaña,anti,
,BarcelonaEsEspaña,anti,
,LongLiveTheUnityOfSpain,anti,
*,EspañaUnida,anti,
,EspanaNoSeRompe,anti,
,ProuPuigdemont,anti,
*,CatalanReferendum,neut,
,ReferendumCatalan,neut,
,1Oct,neut,
,referendumCAT,neut,
,Votarem,neut,
,referéndum,neut,
